Img_Label,X,Y,Z,Hor_Accuracy,Ver_Accuracy,Remarks
A,396103.8633,3323564.158,4.425629877,0.1,0.1,Concrete Top Left
B,396136.7596,3323564.703,4.49219058,0.1,0.1,Concrete Top Right
C,396136.4109,3323541.64,5.300877886,0.23,0.22,Concrete Bottom Right
D,396103.5592,3323540.882,4.571487782,0.13,0.15,Concrete Bottom Left
F1,396123.5924,3323552.059,4.69869622,0.1,0.1,Field Point 1
F2,396133.8301,3323548.847,4.577380351,0.13,0.08,Field Point 2
F3,396143.1803,3323541.515,4.405187421,0.1,0.1,Field Point 3
F4,396151.3444,3323540.109,4.366974463,0.1,0.1,Field Point 4
F5,396125.8198,3323541.306,4.482209357,0.16,0.23,Field Point 5
F6,396107.4443,3323552.295,4.620842422,0.1,0.1,Field Point 6
F7,396128.5277,3323556.45,5.065001098,0.35,0.39,Field Point 7
F8,396114.7955,3323562.861,4.577823609,0.1,0.1,Field Point 8
F9,396118.0531,3323546.803,4.657401732,0.1,0.1,Field Point 9
F10,396114.7282,3323564.463,4.475329726,0.1,0.1,Field Point 10
F11,396149.7609,3323552.068,3.903339064,0.1,0.1,Field Point 11
F12,396135.5946,3323563.538,4.613308834,0.1,0.1,Field Point 12
F13,396103.7753,3323550.711,4.435031486,0.23,0.07,Field Point 13
F14,396143.0734,3323541.755,5.308128634,0.19,0.3,Field Point 14
F15,396151.3764,3323566.964,4.316925891,0.14,0.14,Field Point 15
F16,396149.6617,3323563.799,3.820828021,0.1,0.1,Field Point 16
F17,396118.4643,3323555.031,4.666944782,0.1,0.1,Field Point 17
F18,396147.8191,3323540.126,4.301558439,0.1,0.1,Field Point 18
